epoch,dice_coef_bg,dice_coef_ed,dice_coef_et,dice_coef_multilabel,dice_coef_net,loss,val_dice_coef_bg,val_dice_coef_ed,val_dice_coef_et,val_dice_coef_multilabel,val_dice_coef_net,val_loss
0,0.8802482973445546,0.7810441770336845,0.7428255731409247,0.8065896007147703,0.8222403417934071,0.2675829106433825,0.5000001788139343,0.11293409019708633,0.5000001788139343,0.5282336473464966,1.0,0.6382166743278503
1,0.9994409246878191,0.9932621717453003,0.9982631369070574,0.9976401979273016,0.9995945475318215,0.002367039314942138,0.9358629584312439,0.018720009364187717,0.3991076946258545,0.5884226858615875,1.0,0.5303103923797607
2,0.9999659982594576,0.9998808557336981,0.9999689080498435,0.9999507990750399,0.999987477605993,4.920256651530508e-05,1.0,0.007013049442321062,4.070051602411695e-07,0.5017533898353577,1.0,0.6896465420722961
3,0.9999832836064425,0.9999624978412281,0.9999792304905978,0.9999797127463601,0.9999937956983392,2.028746216224549e-05,0.999998927116394,0.011206569150090218,0.0007531034934800118,0.5029896795749664,1.0,0.6871856451034546
